

IPV4央视,#genre#
CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV3,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV5,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV6,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV7,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV8,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV9,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV10,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV11,http://223.95.198.3:8000/hls/11/index.m3u8
CCTV12,http://223.95.198.3:8000/hls/12/index.m3u8
CCTV13,http://223.95.198.3:8000/hls/13/index.m3u8
CCTV14,http://223.95.198.3:8000/hls/14/index.m3u8
CCTV15,http://223.95.198.3:8000/hls/15/index.m3u8
CCTV16,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV17,http://223.95.198.3:8000/hls/17/index.m3u8
CCTV4K,http://223.95.198.3:8000/hls/18/index.m3u8
CGTN,http://223.95.198.3:8000/hls/19/index.m3u8

CCTV1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8

